"52","24054","MADRAS PAPER AGENCIES","34AHHPM5470E1ZF",,"191 M.G. ROAD",,"PONDICHERRY   ",NULL,,,NULL,NULL,NULL,NULL
"53","24055","MADRAS PAPER MART","34AAAPH4365H1ZZ",,"193 M,G,ROAD",,"PONDICHERRY   ",NULL,,,NULL,NULL,NULL,NULL
"54","24056","BHARATHI PAPER STORES","33AAIBA0529N1ZX",,"86, SANNATHI STREET",,"TIRUVANNAMALAI",NULL,,,NULL,NULL,NULL,NULL
"55","24057","JEI GANAPATHI STATIONERIE","33ACGPV2430B2Z2",,"9, DINDIGUL ROAD,",,"KARUR",NULL,,,NULL,"0",NULL,NULL
"56","24058","SRI VENKATESWARA PAPER ST","33AAMFV3517B1ZG",,"22 UNNAMALAIAMMAN NILAYAM",,"TRIUVANNAMALAI",NULL,,,NULL,"0",NULL,NULL
"57","24059","A P.M GENERAL STORES","33ABDFA2707NIZL",,"20 BIG BAZAAR STREET",,"TIRUVANNAMALAI",NULL,,,NULL,NULL,NULL,NULL
"58","24060","NAVARANG TRADERS","33CMPPM8099A1ZP",,"50B WEST CAR STREET",,"NAGERCOIL",NULL,,,NULL,NULL,NULL,NULL
"59","24061","SUBHAM NOTE BOOK","33AJCPS1860P1ZU",,"95 COURT STREET",,"ERODE",NULL,,,NULL,NULL,NULL,NULL
"60","24062","PRAKASH STATIONERY","33AEAPP3053N1ZH",,"11, WEST KONGALAMMAN KOVIL STREET",,"ERODE",NULL,,,NULL,NULL,NULL,NULL
"61","24063","ARUNAGIRI  PAPER STORES","33BHFPM6448D1ZG",,"G180 MAIN ROAD",,"ALANGULAM",NULL,,,NULL,NULL,NULL,NULL
"62","24064",,,,,,,NULL,,,NULL,"0",NULL,NULL
"63","24065","JANAKIRAM PAPER STORES","33AAGPP6157M1ZA",,"42 A EAST CAR STREET",,"CHIDAMBARAM   ",NULL,,,NULL,NULL,NULL,NULL
"64","24066","MAHADEVI PAPER MART","33AADFM3519P1Z3",,"181 PERIYAR STREET",,"ERODE",NULL,,,NULL,NULL,NULL,NULL
"65","24067","JOTHI PAPER &INVITAATION ","33APHPS4402G1Z4",,"243 BAZAAR STREET",,"VIRUDHACHALAM ",NULL,,,NULL,NULL,NULL,NULL
"66","24068","RAMDEV PAPER MART","33293365250",,"4/26 NEWPET , M.G.ROAD",,"HOSUR",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"67","24069","KASI VISWANATHAN","0","0","THAMBARAM",,"CHENNAI",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"68","24070","KANDAVEL PAPER MART","33ARNPB8609G1ZU",,"141 GANDHI SALAI",,"CHEYYAR",NULL,,,NULL,NULL,NULL,NULL
"69","24071","THE DURGA ENTERPRISES","33BDLPM5392N1ZW",,"83 WEST CAR STREET",,"CHIDAMBARAM   ",NULL,,,NULL,NULL,NULL,NULL
"70","24072","FRIENDS OFFSET CALENDER","33930200758",,"66\\39 BUNDER STREET",,"CHENNAI",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"71","24073","SHRI NAVALADY PAPERS","33823124738",,"117 MARUTHI COMPLEX, PARAMATHI",,"NAMAKKAL",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"72","24074","VENUS PRINTERS","33103120284",,"NEAR TOWN BUS STAND'23 TKC VEE",,"NAMAKKAL",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"73","24075","GOUTHAM STATIONERY MART","33812741933",,"188-B LONGLY ROAD","SHEVAPET   ","SALEM ","636002",NULL,NULL,NULL,NULL,NULL,NULL
"74","24076","NAVRANG STATIONERYS","33ABMPK1829N1ZC",,"73 VENKATRAMAN NAICKER STREET","SHEVAPET,","SALEM","636002",,,NULL,NULL,NULL,NULL
"75","24077","BOMBAY STATIONERY SUPPLIE","33AAFHG5809J1ZA",,"AA17 LONGLY ROAD, SHEVAPET",,"SALEM","636002",,,NULL,NULL,NULL,NULL
"76","24078","RANI BOOK SHOP","33452740967",,"172,LONGLY ROAD, SHEVAPET",,"SALEM","636002",NULL,NULL,NULL,NULL,NULL,NULL
"77","24079","SHRI VEL PAPER MART","33073123744",,"68/127,PARAMATHI ROAD","NEAR ANNA STATUE ,","NAMAKKAL",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"78","24080","M.J. AGENCIES","33ACGPD9165K1ZG",,"527, MAIN ROAD, SHEVAPET",,"SALEM","636002",,,NULL,NULL,NULL,NULL
"79","24081","PUROHIT TRADERS",,,"41/13 A.K.M.C. STREET",,"NAMAKKAL","637001",NULL,NULL,NULL,NULL,NULL,NULL
"80","24082","DHAMMU BOOKS","33ACYPD5799DIZ5",,"292 DHALLI ROAD",,"UDUMALPET",NULL,,,NULL,NULL,NULL,NULL
"81","24083","SRI CHITRADEVI AGENCIES","33ALIPK9486B1ZZ",,"SOUTH BAZAAR , CHANTHUKADAI",,"KOVILPATTY    ",NULL,,,NULL,NULL,NULL,NULL
"82","24084","VETRI BOOK CENTRE",,,"83 WEST CAR STREET",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"83","24085","RAMDEV PAPER & CARDS","33293365250",,"4\\26 NEWPET, M.G ROAD",,"HOSUR","635109",NULL,NULL,NULL,NULL,NULL,NULL
"84","24086","SRI RAJAGANAPATHY PUTHAGA","33ACHFS7634P2ZG",,"132, RAJA VEETHI",,"COIMBATORE    ",NULL,,,NULL,NULL,NULL,NULL
"85","24088","YOGALAKSHMI BOOK SHOP","33AHMPB5164D1ZQ",,"12967 A PARAMATHI ROAD",,"NAMAKKAL",NULL,,,NULL,NULL,NULL,NULL
"86","24089",,,,,,,NULL,,,NULL,"0",NULL,NULL
"87","24090","KALAIMAHAL PAPER STORE","33923341068",,"162,bazzar street",,"Harur","636908",NULL,NULL,NULL,NULL,NULL,NULL
"88","24091","RAJA GANAPATHY CARDS","33962822603",,"32,ARUNACHALAM ASAI STREET",,"SALEM","636001",NULL,NULL,NULL,NULL,NULL,NULL
"89","24092","MAHADEV PAPER & STATIONER","33ALCPM3032F1ZP",,"51 E . BAGALUR ROAD",,"HOSUR",NULL,,,NULL,NULL,NULL,NULL
"90","24093","SRI GANESH TRADERS","33ABJFS1771Q1ZL",,"131102 WEST BOWLEWARD ROAD",,"TRICHY",NULL,,,NULL,NULL,NULL,NULL
